Category,Question,Answer
온라인예매/우대정보,[이용] '선물하기'를 통해 전달한 티켓은 어떻게 확인하거나 취소하나요?,"여러 명의 티켓을 한 분이 예매하셨을 경우, 선물하기 기능 또는 방문자 정보 수정을 통해 동행자에게 티켓을 전달할 수 있습니다.
각 경우에 따라 티켓 확인 및 취소 안내 방법이 다르니 아래 내용을 참고해 주세요.
① 티켓 확인 방법
선물하기를 통해 양도한 경우
· 실구매자의 마이티켓에서 확인 가능하며, 해당 티켓 내 QR 정보에서 어떤 번호로 발송되었는지 확인됩니다.
· 선물받은 분은 전송된 알림톡 정보로 공식APP에서 티켓 등록이 가능합니다.
방문자 정보 수정을 통해 양도한 경우
· 실구매자의 결제 내역에서만 확인 가능하며, 마이티켓에서는 확인되지 않습니다.
· 단, 웹티켓 선물받은 수령자가 직접 등록 시 마이티켓에서 확인 가능합니다.

② 티켓 환불/취소 안내
선물하기를 통해 양도한 경우
· 실구매자가 취소할 경우, 실구매자에게 취소 안내 알림톡이 발송됩니다.
방문자 정보 수정을 통해 양도한 경우
· 실구매자가 취소할 경우, 웹티켓 선물받은 수령자에게만 취소 안내 알림톡이 발송됩니다.

★ 유의사항
· 티켓 전달 시에는 반드시 앱 내 '선물하기' 기능을 이용해 주세요.
· URL을 직접 복사하여 전달할 경우 QR코드가 손상되어 이용이 불가할 수 있습니다."
이용정보,"
[입장]어드벤처를 나갔다가 다시 들어올 수 있나요?","롯데월드 어드벤처에서는 파크 입장 후 퇴장하시면 원칙적으로 재입장이 불가능합니다.
단, 재입장을 도와드리는 몇가지 사항에 대해 안내해 드립니다.
  ① 아이스링크 이용 손님
  ② 저자거리 또는 민속박물관 이용 손님(어드벤처 3F 민속관게이트 이용)
  ③ 의무실 방문 후 간호사 진단에 따라 외부 의료기관 방문하는 경우"
이용정보,[입장]롯데호텔 투숙객은 윈더도어 게이트로 입장하면 되나요?,"이용 당일 롯데 호텔 투숙객 중 ""호텔 투숙객 전용"" 티켓 소지 손님만
호텔에서 연결된 원더도어 게이트를 통해 파크 입장이 가능합니다."
온라인예매/우대정보,"[티켓]롯데월드 어드벤처에는 어떤 티켓이 있으며, 티켓의 사용범위는 어디까지인가요?","롯데월드 어드벤처의 이용티켓은 종합이용권, 파크이용권, 연간이용권으로 구분되어 있습니다.
종합이용권, 연간이용권의 경우 파크입장+어트랙션 이용+민속박물관 이용이 가능하며
파크이용권의 경우 파크입장+어트랙션 이용이 가능합니다.
단, 유료시설은 별도의 비용을 지불하셔야합니다."
온라인예매/우대정보,[매직패스]매직패스 티켓은 무엇인가요?,"매직패는 별도의 예약없이 어트랙션을 빠르게 이용할 수 있는 티켓입니다.
매직패스는 5회권으로만 운영되며, 이용 가능한 어트랙션 범위에 따라 Light, Standard A/B, Premium 으로 구분됩니다.
티켓은 롯데월드 어플리케이션에서 구매하실 수 있으며, 종합이용권/파크이용권 구매 고객과 연간이용회원을 대상으로 판매합니다.

※유료시설 및 매직패스 대기라인이 없는 시설은 사용이 불가하며, 티켓은 구매 당일만 사용 가능합니다.
※1인 4매 구매가능합니다.(타인에게 양도 불가)
※프리미엄 외 권종은 파라오의분노 이용이 불가합니다."
연간이용,[연간이용권]롯데월드 연간이용에 대해 알고 싶습니다.,"롯데월드 어드벤처의 연간이용권을 구매하시면
어드벤처와 매직아일랜드, 민속박물관을 365일 자유롭게 이용하실 수 있습니다. (유료 게임시설 제외)"
연간이용,[연간이용권]연간이용 가입 시 필요한 서류는 어떻게 되나요?,"가입 시 필요한 서류는 본인임을 확인할 수 있는 주민등록증 또는 주민등록등본, 의료보험증 등이 있습니다.
사진은 온라인 예매를 통해 등록이 가능하며, 온라인 예매 후 연간이용센터에 방문하시어, 사진 및 우대서류 확인을 진행해 주셔야 합니다.
(사진촬영 시 모자, 선글라스 착용 불가)"
탑승예약제/싱글라이더,[탑승예약제]탑승예약제가 무엇인가요?,"탑승예약제는 인기 어트랙션의 탑승 대기시간을 감소시켜 손님께서 보다 효율적으로 시간을 활용할 수 있도록 하는 취지에서 만들어진 제도 입니다.
※ 죄석을 예약하는 부분이 아니며, 인원수와 시간만 예약하실 수 있습니다. (모바일 예약 불가)"
탑승예약제/싱글라이더,[탑승예약제]탑승권을 분실한 경우 재발급이 가능한가요?,"탑승권 분실 시, 재발급 및 어트랙션 이용이 불가하오니 유의 바랍니다."
장애인 탑승예약제,"
[장애인 탑승예약제]장애인 탑승예약제가 뭐예요?","장애인 탑승예약제는 장애인손님이 특정 기종에 탑승하고자 할 경우 탑승예약을 통해 일반 대기동선에
줄을 선 것으로 간주하고 다른 장소에서 편안하게 시간을 보내다가 예약된 시간에 해당 어트랙션에
도착하여 탑승하는 제도입니다.
다만, 먼저 예약된 놀이기구 탑승이 종료되지 않은 상태에서 다른 어트랙션 탑승예약은 불가합니다."
